iter	Logloss
0	0.5419604657
1	0.4761526276
2	0.4475729707
3	0.4288022216
4	0.4195505727
5	0.4174472336
6	0.4135282361
7	0.3990966709
8	0.3944447811
9	0.3918837013
10	0.3870647692
11	0.3850860844
12	0.3819007818
13	0.3802536695
14	0.3789471666
15	0.3753731781
16	0.3741803823
17	0.3719135537
18	0.3702353168
19	0.3671948513
20	0.3666767414
21	0.3649006236
22	0.361568935
23	0.3614648361
24	0.3498509662
25	0.3475692035
26	0.3431959134
27	0.342563532
28	0.3408972021
29	0.3403763263
30	0.3403173027
31	0.3398140892
32	0.3383532445
33	0.3376835429
34	0.3372650528
35	0.3362096881
36	0.328215705
37	0.3273921681
38	0.3248240789
39	0.3243836529
40	0.3225364506
41	0.3224903109
42	0.3209827942
43	0.3170515228
44	0.3169593472
45	0.3152038
46	0.3116904392
47	0.3084587848
48	0.3049940591
49	0.3047457268
50	0.3042157501
51	0.3028837368
52	0.3023440818
53	0.3013448861
54	0.3003221855
55	0.2991774136
56	0.2987128279
57	0.2986996645
58	0.2975895966
59	0.2970294126
60	0.293632927
61	0.2920686998
62	0.2893915212
63	0.2891321558
64	0.2886249836
65	0.2885173538
66	0.2883931428
67	0.288056264
68	0.2875720171
69	0.287457566
70	0.2868599546
71	0.2868190793
72	0.286486998
73	0.2863402616
74	0.2852438845
75	0.2850652771
76	0.2849223375
77	0.2848616902
78	0.2848417221
79	0.2847596706
80	0.2847032716
81	0.2828988697
82	0.2791371898
83	0.2782116509
84	0.277969853
85	0.2778664736
86	0.2766828068
87	0.2748505084
88	0.2738483452
89	0.2721058294
90	0.2701310516
91	0.2698782038
92	0.2675903281
93	0.2671763307
94	0.2647683948
95	0.2640233458
96	0.2635244389
97	0.2628105812
98	0.2619329216
99	0.2600511857
