iter	Passed	Remaining
0	20	2063
1	40	1999
2	60	1941
3	73	1768
4	89	1699
5	102	1607
6	122	1625
7	141	1632
8	161	1633
9	181	1633
10	200	1623
11	220	1614
12	239	1603
13	252	1553
14	283	1603
15	302	1588
16	321	1571
17	335	1526
18	354	1512
19	374	1497
20	393	1478
21	406	1440
22	425	1425
23	438	1389
24	458	1374
25	477	1359
26	497	1344
27	512	1318
28	532	1302
29	550	1285
30	566	1261
31	586	1245
32	605	1230
33	626	1215
34	645	1198
35	665	1182
36	686	1169
37	705	1151
38	725	1134
39	744	1116
40	763	1098
41	783	1081
42	803	1064
43	823	1047
44	841	1028
45	861	1011
46	881	993
47	901	976
48	921	958
49	940	940
50	959	922
51	979	904
52	998	885
53	1019	868
54	1052	861
55	1074	844
56	1094	825
57	1112	805
58	1144	795
59	1163	775
60	1184	757
61	1205	738
62	1226	720
63	1239	697
64	1259	678
65	1278	658
66	1297	639
67	1316	619
68	1336	600
69	1356	581
70	1378	562
71	1397	543
72	1416	524
73	1436	504
74	1455	485
75	1475	465
76	1494	446
77	1514	427
78	1532	407
79	1552	388
80	1572	368
81	1591	349
82	1612	330
83	1632	310
84	1652	291
85	1672	272
86	1693	253
87	1713	233
88	1732	214
89	1752	194
90	1785	176
91	1805	156
92	1825	137
93	1844	117
94	1863	98
95	1883	78
96	1903	58
97	1923	39
98	1943	19
99	1962	0
